property_type,site_improvement,current_use,latitude,longitude,provice_city,district_khan,commune_sangkat,land_width,land_length,land_area_by_title_deed,topography,site_position,unit_type,building_name,width,length,no_of_storey,total_bedroom,total_bathroom,total,per_sqm,updated_sync_modify
Condo/Apartment,,,13.36535919,103.8606789,,Siem Reap City,,,,,,Middle,,,,,0,1,1,450,450,
Hotel/Resort,,,13.3653444,103.860661,,Siem Reap City,,,,,,Middle,,,,,5,43,46,3600000,3600000,
Condo/Apartment,,,11.60359953,104.8950631,,Russey Keo,,,,,,Middle,,,,,20,1,1,550,550,
Shophouse/Commercial,,,11.55236762,104.9121197,,Boeng Keng Kang,,,,,,,,,,,6,0,0,0,13,
Land,,,13.36536561,103.8606954,,Siem Reap City,,,,,,Corner,,,,,0,0,0,226170,70,
Hotel/Resort,,,13.36536536,103.8606943,,Siem Reap City,,,,,,Middle,,,,,3,32,35,3450000,3450000,
Condo/Apartment,,,13.36535582,103.8607031,,Siem Reap City,,,,,,Middle,,,,,0,2,2,198000,198000,
Shophouse/Commercial,,,11.55245025,104.9121524,,Boeng Keng Kang,,,,,,,,,,,6,0,0,8000,20,
Condo/Apartment,,,11.52925123,104.9286393,,Meanchey,,,,,,Middle,,,,,0,1,1,130000,130000,
Condo/Apartment,,,13.36536272,103.8606845,,Siem Reap City,,,,,,Corner,,,,,0,1,1,280,280,
Condo/Apartment,,,13.36537293,103.8606675,,Siem Reap City,,,,,,Middle,,,,,0,2,2,300,300,
Condo/Apartment,,,11.57690955,104.9041917,,Toul Kork,,,,,,,,,,,0,1,1,500,500,
Condo/Apartment,,,11.53083428,104.9277461,,Meanchey,,,,,,Middle,,,,,23,2,1,90000,90000,
House/Villa,,,13.36539008,103.8606606,,Siem Reap City,,,,,,Middle,,,,,2,4,5,635000,635000,
Condo/Apartment,,,11.57693268,104.904277,,Toul Kork,,,,,,,,,,,0,1,1,580,580,
Condo/Apartment,,,13.36536212,103.8606959,,Siem Reap City,,,,,,Middle,,,,,0,1,1,250,250,
Condo/Apartment,,,13.36537899,103.8606921,,Siem Reap City,,,,,,Middle,,,,,3,2,2,350,350,
Condo/Apartment,,,11.60825458,104.9016365,,Russey Keo,,,,,,Middle,,,,,20,1,1,700,700,
House/Villa,,,13.365364,103.8606926,,Siem Reap City,,,,,,Middle,,,,,2,2,2,500,500,
Condo/Apartment,,,11.53075885,104.9277227,,Meanchey,,,,,,Middle,,,,,23,2,1,500,500,
Condo/Apartment,,,13.36538085,103.8606791,,Siem Reap City,,,,,,Middle,,,,,3,1,1,270,270,
House/Villa,,,13.36535359,103.8606971,,Siem Reap City,,,,,,Middle,,,,,2,2,2,600,600,
Condo/Apartment,,,13.36535353,103.8606687,,Siem Reap City,,,,,,Corner,,,,,0,1,1,500,500,
Hotel/Resort,,,13.36537472,103.8606774,,Siem Reap City,,,,,,Corner,,,,,0,0,0,650000,650000,
Land,,,13.36539964,103.860699,,Siem Reap City,,,,,,Middle,,,,,0,0,0,200714,4,
Condo/Apartment,,,11.56008833,104.9303388,,Chamkarmon,,,,,,Middle,,,,,7,40,0,6500000,6500000,
Condo/Apartment,,,13.36535505,103.8606844,,Siem Reap City,,,,,,Middle,,,,,0,2,2,550,550,
Condo/Apartment,,,13.3653639,103.8607044,,Siem Reap City,,,,,,Middle,,,,,0,2,2,850,850,
House/Villa,,,13.3653679,103.8606956,,Siem Reap City,,,,,,Middle,,,,,0,3,2,1800,1800,
Land,,,13.36536733,103.8606846,,Siem Reap City,,,,,,Middle,,,,,0,0,0,702600,200,
House/Villa,,,13.36534614,103.8607006,,Siem Reap City,,,,,,Middle,,,,,0,4,3,270000,270000,
Condo/Apartment,,,11.59010677,104.8737664,,SenSok,,,,,,Corner,,,,,20,3,4,462000,462000,
Condo/Apartment,,,11.55738917,104.9254391,,Boeng Keng Kang,,,,,,Corner,,,,,0,2,2,800,800,
Condo/Apartment,,,13.36538248,103.8606843,,Siem Reap City,,,,,,Middle,,,,,0,1,2,500,500,
Condo/Apartment,,,13.36537007,103.8606766,,Siem Reap City,,,,,,Middle,,,,,0,1,1,270,270,
Condo/Apartment,,,13.36538938,103.8606681,,Siem Reap City,,,,,,Middle,,,,,3,1,1,400,400,
Condo/Apartment,,,13.36537017,103.8606929,,Siem Reap City,,,,,,Middle,,,,,0,1,2,330,330,
Condo/Apartment,,,11.56127017,104.927667,,Boeng Keng Kang,,,,,,,,,,,0,2,0,2350,2350,
Condo/Apartment,,,11.55918425,104.9401485,,Chamkarmon,,,,,,,,,,,0,2,2,345000,345000,
Commercial,,Land,11.56,104.92,Phnom Penh,Daun Penh,,,,624,,,,,,,,,,,,"Tuesday, November 10, 2020"
Commercial,,DevelopmentLand,10.6,104.19,Kampot,,,,,1600,,,,,,,,,,720000,,"Tuesday, July 28, 2020"
Residential,,Condominium,11.57,104.92,Phnom Penh,Daun Penh,,,,106,,,,,,,11,,,323000,,"Wednesday, September 22, 2021"
Residential,,Condominium,11.56,104.91,Phnom Penh,7 Makara,,,,48,,,,,,,8,,,100000,,"Thursday, February 17, 2022"
Residential,,ServicedApartment,11.55,104.92,Phnom Penh,Chamkarmon,,,,114,,,,,,,3,,,1950,,"Thursday, January 6, 2022"
Commercial,,Shophouse,11.54,104.92,Phnom Penh,Chamkarmon,,,,72,,,,,,,1,,,27000,,"Thursday, July 22, 2021"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,91,,,,,,,42,,,221807,,"Monday, April 12, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,33,,,,,,,40,,,98979,,"Thursday, April 29, 2021"
Residential,,ServicedApartment,11.55,104.92,Phnom Penh,Chamkarmon,,,,55,,,,,,,1,,,890,,"Tuesday, January 4, 2022"
Residential,,Shophouse,11.53,104.86,Phnom Penh,Meanchey,,,,328,,,,,,,,,,600000,,"Wednesday, July 14, 2021"
Residential,,Condominium,11.53,104.92,Phnom Penh,Chamkarmon,,,,72,,,,,,,1,,,160000,,"Wednesday, January 27, 2021"
Residential,,Land,13.36,103.83,Siem Reap,,,,,2505,,,,,,,,,,626250,,"Tuesday, April 28, 2020"
Residential,,StandAloneVilla,11.52,104.98,Phnom Penh,Chbar Ampov,,,,1300,,,,,,,1,,,800000,,"Monday, February 14, 2022"
Commercial,,Office,11.56,104.91,Phnom Penh,7 Makara,,,,98,,,,,,,,,,1470,,"Wednesday, November 3, 2021"
Commercial,,Office,11.569,104.9195,Phnom Penh,Daun Penh,,,,33,,,,,,,,,,429,,"Friday, May 29, 2020"
Residential,,Condominium,11.57,104.9,Phnom Penh,Toul Kork,,,,65,,,,,,,1,,,850,,"Wednesday, February 2, 2022"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,30,,,,,,,26,,,140000,,"Sunday, August 22, 2021"
Residential,,Condominium,11.55,104.94,Phnom Penh,Chamkarmon,,,,50,,,,,,,25,,,400,,"Wednesday, January 26, 2022"
Commercial,,Land,11.539,104.9195,Phnom Penh,Chamkarmon,,,,4027,,,,,,,,,,16510700,,"Thursday, April 1, 2021"
Residential,,QueenVilla,11.53,104.99,Phnom Penh,Chbar Ampov,,,,144,,,,,,,2,,,3800,,"Tuesday, February 8, 2022"
Residential,,Condominium,11.589,104.8895,Phnom Penh,Sen Sok,,,,100,,,,,,,,,,160000,,"Tuesday, September 28, 2021"
Commercial,,DevelopmentLand,11.54,104.92,Phnom Penh,Chamkarmon,,,,768,,,,,,,,,,2841600,,"Thursday, April 1, 2021"
Commercial,,DevelopmentLand,10.599,104.1895,Kampot,,,,,1800,,,,,,,,,,1350000,,"Thursday, April 1, 2021"
Residential,,LinkVilla,11.64,104.91,Phnom Penh,Chroy Changvar,,,,75,,,,,,,,,,220000,,"Tuesday, September 28, 2021"
Residential,,Condominium,11.55,104.94,Phnom Penh,Chamkarmon,,,,89,,,,,,,,,,2000,,"Monday, January 3, 2022"
Residential,,Condominium,11.52,104.93,Phnom Penh,Meanchey,,,,29,,,,,,,10,,,72450,,"Thursday, October 28, 2021"
Commercial,,AgriculturalLand,12.689,107.2095,Mondulkiri,Pech Chreada,,,,6440000,,,,,,,,,,,,"Tuesday, August 31, 2021"
Residential,,LinkVilla,11.53,104.96,Phnom Penh,Chbar Ampov,,,,35,,,,,,,,,,770,,"Tuesday, September 21, 2021"
Residential,,Condominium,11.59,104.87,Phnom Penh,Sen Sok,,,,126,,,,,,,17,,,220400,,"Sunday, June 20, 2021"
Residential,,ServicedApartment,11.55,104.92,Phnom Penh,Chamkarmon,,,,145,,,,,,,1,,,2250,,"Monday, November 29, 2021"
Residential,,Condominium,11.57,104.92,Phnom Penh,Daun Penh,,,,107,,,,,,,17,,,317000,,"Friday, October 22, 2021"
Residential,,Condominium,11.58,104.9,Phnom Penh,Toul Kork,,,,76,,,,,,,15,,,200000,,"Tuesday, September 28, 2021"
Residential,,Condominium,11.54,104.92,Phnom Penh,Chamkarmon,,,,82,,,,,,,10,,,290000,,"Thursday, March 19, 2020"
Commercial,,Land,13.439,104.1695,Siem Reap,Svay Leu,,,,374000,,,,,,,,,,3740000,,"Thursday, April 1, 2021"
Residential,,Condominium,11.52,104.93,Phnom Penh,Meanchey,,,,70,,,,,,,1,,,129000,,"Thursday, November 4, 2021"
Residential,,Condominium,11.58,104.9,Phnom Penh,Toul Kork,,,,32,,,,,,,,,,56000,,"Monday, October 11, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,47,,,,,,,39,,,165000,,"Thursday, October 22, 2020"
Residential,,Condominium,11.57,104.92,Phnom Penh,Daun Penh,,,,116,,,,,,,10,,,300000,,"Monday, April 12, 2021"
Residential,,Condominium,11.56,104.93,Phnom Penh,Chamkarmon,,,,25,,,,,,,36,,,105500,,"Friday, November 5, 2021"
Residential,,ServicedApartment,11.549,104.9295,Phnom Penh,Toul Kork,,,,60,,,,,,,4,,,750,,"Thursday, August 19, 2021"
Residential,,Condominium,11.52,104.93,Phnom Penh,Meanchey,,,,50,,,,,,,23,,,120000,,"Sunday, August 22, 2021"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,44,,,,,,,18,,,241220,,"Tuesday, September 21, 2021"
Residential,,Condominium,11.55,104.91,Phnom Penh,Chamkarmon,,,,43,,,,,,,9,,,100500,,"Saturday, December 11, 2021"
Commercial,,Land,11.519,104.8895,Phnom Penh,Dangkao,,,,2584,,,,,,,,,,3876000,,"Wednesday, September 29, 2021"
Residential,,Condominium,11.61,104.88,Phnom Penh,Sen Sok,,,,35,,,,,,,1,,,67013,,"Wednesday, October 27, 2021"
Commercial,,Hotel,12.249,105.9695,Kratie,Chhloung,,,,4929,,,,,,,,,,2600000,,"Monday, September 27, 2021"
Residential,,Condominium,11.59,104.87,Phnom Penh,Sen Sok,,,,126,,,,,,,7,,,201600,,"Sunday, June 20, 2021"
Commercial,,Hotel,13.36,103.86,Siem Reap,,,,,5500,,,,,,,,,,4800000,,"Monday, June 7, 2021"
Residential,,Condominium,11.55,104.87,Phnom Penh,Sen Sok,,,,35,,,,,,,18,,,87000,,"Thursday, November 4, 2021"
Residential,,ServicedApartment,11.55,104.92,Phnom Penh,Chamkarmon,,,,81,,,,,,,5,,,900,,"Wednesday, August 18, 2021"
Residential,,Condominium,11.57,104.92,Phnom Penh,Daun Penh,,,,106,,,,,,,10,,,320000,,"Tuesday, March 30, 2021"
Residential,,Condominium,11.52,104.93,Phnom Penh,Meanchey,,,,50,,,,,,,21,,,135000,,"Tuesday, September 21, 2021"
Commercial,,Land,11.489,104.9395,Battambang,Ta Khmau,,,,33126,,,,,,,,,,13250400,,"Thursday, April 1, 2021"
Residential,,StandAloneVilla,13.36,103.84,Siem Reap,,,,,9357,,,,,,,,,,4004796,,"Thursday, April 1, 2021"
Commercial,,CommercialLand,11.55,104.92,Phnom Penh,Chamkarmon,,,,403,,,,,,,,,,1491100,,"Thursday, April 1, 2021"
Commercial,,ClusterHouse,11.56,104.87,Phnom Penh,Sen Sok,,,,162,,,,,,,4,,,4000,,"Monday, July 12, 2021"
Residential,,LinkVilla,11.54,104.96,Phnom Penh,Chbar Ampov,,,,315,,,,,,,4,,,399999,,"Monday, July 5, 2021"
Residential,,Condominium,11.54,104.92,Phnom Penh,Chamkarmon,,,,72,,,,,,,1,,,250000,,"Monday, September 27, 2021"
Residential,,Condominium,11.52,104.93,Phnom Penh,Meanchey,,,,50,,,,,,,21,,,135000,,"Wednesday, September 22, 2021"
Residential,,Condominium,11.52,104.93,Phnom Penh,Meanchey,,,,90,,,,,,,27,,,172000,,"Monday, January 25, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,53,,,,,,,26,,,250000,,"Sunday, August 22, 2021"
Residential,,Condominium,11.55,104.87,Phnom Penh,Sen Sok,,,,164,,,,,,,10,,,377591,,"Wednesday, July 14, 2021"
Residential,,Condominium,11.55,104.94,Phnom Penh,Chamkarmon,,,,53,,,,,,,,,,1200,,"Wednesday, January 5, 2022"
Commercial,,Land,11.45,105,Battambang,Ta Khmau,,,,1473,,,,,,,,,,1326,,"Tuesday, October 26, 2021"
Residential,,Condominium,11.59,104.93,Phnom Penh,Chroy Changvar,,,,119,,,,,,,1,,,155000,,"Wednesday, February 23, 2022"
Commercial,,Land,10.57,103.41,Koh Kong,KaohKong,,,,1300000,,,,,,,,,,65000000,,"Monday, August 30, 2021"
Commercial,,DevelopmentLand,10.639,103.5095,Sihanoukville,,,,,26782,,,,,,,,,,40173000,,"Thursday, April 1, 2021"
Residential,,Condominium,11.58,104.9,Phnom Penh,Toul Kork,,,,54,,,,,,,23,,,99000,,"Sunday, June 20, 2021"
Residential,,Condominium,11.55,104.94,Phnom Penh,Chamkarmon,,,,101,,,,,,,7,,,1000,,"Wednesday, January 5, 2022"
Residential,,ServicedApartment,11.54,104.92,Phnom Penh,Chamkarmon,,,,35,,,,,,,11,,,750,,"Thursday, February 3, 2022"
Commercial,,DevelopmentLand,10.629,103.5295,Sihanoukville,,,,,10662,,,,,,,,,,10662000,,"Thursday, April 1, 2021"
Residential,,Condominium,11.569,104.9095,Phnom Penh,Daun Penh,,,,21,,,,,,,1,,,149000,,"Monday, September 6, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,69,,,,,,,29,,,185000,,"Tuesday, September 21, 2021"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,53,,,,,,,26,,,203000,,"Wednesday, June 16, 2021"
Commercial,,Condominium,11.56,104.91,Phnom Penh,7 Makara,,,,45,,,,,,,7,,,160000,,"Monday, August 30, 2021"
Residential,,Land,13.32,103.91,Siem Reap,Prasat Bakong,,,,2676,,,,,,,,,,290000,,"Monday, June 7, 2021"
Commercial,,CommercialVilla,11.55,104.93,Phnom Penh,Chamkarmon,,,,246,,,,,,,4,,,7998,,"Wednesday, February 26, 2020"
Commercial,,CommercialBuilding,11.56,104.92,Phnom Penh,Daun Penh,,,,5181,,,,,,,,,,12000025,,"Tuesday, February 15, 2022"
Residential,,Condominium,11.61,104.88,Phnom Penh,Sen Sok,,,,93,,,,,,,7,,,176614,,"Tuesday, November 17, 2020"
Residential,,Condominium,11.549,104.9195,Phnom Penh,Chamkarmon,,,,53,,,,,,,17,,,205000,,"Tuesday, September 21, 2021"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,91,,,,,,,42,,,224960,,"Tuesday, September 21, 2021"
Residential,,Condominium,11.56,104.91,Phnom Penh,Toul Kork,,,,134,,,,,,,,,,483444,,"Thursday, April 29, 2021"
Residential,,QueenVilla,11.6,104.88,Phnom Penh,Russey Keo,,,,368,,,,,,,2,,,520000,,"Tuesday, September 28, 2021"
Residential,,SingleVilla,11.6,104.81,Phnom Penh,Sen Sok,,,,274,,,,,,,2,,,155000,,"Tuesday, September 28, 2021"
Commercial,,Land,11.459,104.9295,Battambang,Ta Khmau,,,,3283,,,,,,,,,,3283000,,"Tuesday, April 20, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,134,,,,,,,6,,,472000,,"Wednesday, September 22, 2021"
Residential,,Condominium,11.54,104.92,Phnom Penh,Chamkarmon,,,,74,,,,,,,,,,200000,,"Sunday, August 22, 2021"
Commercial,,Land,11.68,104.92,Phnom Penh,Chroy Changvar,,,,5983,,,,,,,,,,5983400,,"Monday, February 21, 2022"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,82,,,,,,,7,,,288000,,"Monday, September 27, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,35,,,,,,,8,,,141600,,"Wednesday, January 6, 2021"
Residential,,Condominium,11.54,104.92,Phnom Penh,Chamkarmon,,,,85,,,,,,,9,,,1500,,"Thursday, October 21, 2021"
Residential,,Condominium,11.549,104.9195,Phnom Penh,BKK1,,,,53,,,,,,,23,,,,,"Monday, February 24, 2020"
Commercial,,Land,11.599,104.9295,Phnom Penh,Chroy Changvar,,,,3690,,,,,,,,,,9225000,,"Tuesday, April 28, 2020"
Commercial,,Office,11.54,104.93,Phnom Penh,Chamkarmon,,,,292,,,,,,,,,,4088,,"Thursday, March 25, 2021"
Residential,,Condominium,11.57,104.92,Phnom Penh,Daun Penh,,,,83,,,,,,,5,,,238000,,"Wednesday, September 22, 2021"
Residential,,LinkVilla,11.38,104.79,Phnom Penh,Sen Sok,,,,56,,,,,,,2,,,29887,,"Monday, August 30, 2021"
Residential,,ServicedApartment,11.55,104.88,Phnom Penh,Sen Sok,,,,72,,,,,,,3,,,2000,,"Friday, June 25, 2021"
Commercial,,DevelopmentLand,11.49,104.94,Phnom Penh,Meanchey,,,,33126,,,,,,,,,,24844500,,"Thursday, April 1, 2021"
Commercial,,Land,13.349,103.8395,Siem Reap,,,,,28000,,,,,,,,,,8680000,,"Thursday, April 1, 2021"
Commercial,,Hotel,13.369,103.8495,Siem Reap,,,,,1523,,,,,,,,,,6092000,,"Wednesday, April 7, 2021"
Residential,,Condominium,11.55,104.92,Phnom Penh,,,,,117,,,,,,,14,,,260000,,"Monday, September 27, 2021"
Residential,,ServicedApartment,11.54,104.92,Phnom Penh,Chamkarmon,,,,115,,,,,,,7,,,1700,,"Tuesday, August 10, 2021"
Residential,,Condominium,11.54,104.92,Phnom Penh,Chamkarmon,,,,74,,,,,,,8,,,200000,,"Sunday, June 20, 2021"
Residential,,Condominium,11.54,104.92,Phnom Penh,Chamkarmon,,,,74,,,,,,,4,,,229400,,"Wednesday, June 16, 2021"
Residential,,ServicedApartment,11.56,104.92,Phnom Penh,Daun Penh,,,,180,,,,,,,11,,,3000,,"Friday, December 17, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,32,,,,,,,45,,,150000,,"Sunday, August 22, 2021"
Commercial,,RetailProject,11.59,104.88,Phnom Penh,Sen Sok,,,,40,,,,,,,,,,,,"Tuesday, September 21, 2021"
Commercial,,CommercialVilla,11.54,104.92,Phnom Penh,Chamkarmon,,,,350,,,,,,,3,,,4000,,"Tuesday, November 3, 2020"
Residential,,Land,11.57,104.89,Phnom Penh,Toul Kork,,,,268,,,,,,,,,,950000,,"Wednesday, February 23, 2022"
Residential,,ServicedApartment,11.55,104.92,Phnom Penh,Chamkarmon,,,,105,,,,,,,3,,,1200,,"Thursday, February 24, 2022"
Residential,,Condominium,11.54,104.92,Phnom Penh,Chamkarmon,,,,58,,,,,,,18,,,168000,,"Tuesday, September 21, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,38,,,,,,,15,,,120000,,"Monday, August 30, 2021"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,30,,,,,,,26,,,169320,,"Tuesday, September 21, 2021"
Residential,,Condominium,11.54,104.92,Phnom Penh,Chamkarmon,,,,72,,,,,,,7,,,250000,,"Wednesday, August 25, 2021"
Commercial,,Hotel,11.569,104.9295,Phnom Penh,Daun Penh,,,,146,,,,,,,,,,1898000,,"Monday, April 5, 2021"
Residential,,Condominium,11.54,104.92,Phnom Penh,Chamkarmon,,,,145,,,,,,,18,,,375000,,"Tuesday, September 21, 2021"
Commercial,,Land,11.579,104.9395,Phnom Penh,Chroy Changvar,,,,1198,,,,,,,,,,3234600,,"Tuesday, April 28, 2020"
Commercial,,DevelopmentLand,11.569,104.8995,Phnom Penh,Toul Kork,,,,366,,,,,,,,,,1024800,,"Thursday, April 1, 2021"
Residential,,Condominium,11.57,104.92,Phnom Penh,Daun Penh,,,,85,,,,,,,8,,,238000,,"Monday, September 27, 2021"
Residential,,Condominium,11.58,104.85,Phnom Penh,Sen Sok,,,,244,,,,,,,9,,,682108,,"Thursday, April 29, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Meanchey,,,,208,,,,,,,26,,,403312,,"Friday, July 2, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,59,,,,,,,,,,210000,,"Thursday, April 29, 2021"
Commercial,,Office,11.55,104.93,Phnom Penh,7 Makara,,,,100,,,,,,,,,,300000,,"Wednesday, November 3, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chroy Changvar,,,,41,,,,,,,22,,,51865,,"Wednesday, May 20, 2020"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,53,,,,,,,26,,,291530,,"Tuesday, September 21, 2021"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,112,,,,,,,8,,,400000,,"Wednesday, June 16, 2021"
Commercial,,Land,11.5,104.94,Phnom Penh,Meanchey,,,,3637,,,,,,,,,,7200000,,"Tuesday, November 2, 2021"
Residential,,Land,11.42,104.97,Battambang,S'ang,,,,20000,,,,,,,,,,5200000,,"Wednesday, October 28, 2020"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,115,,,,,,,31,,,2500,,"Monday, September 6, 2021"
Residential,,Condominium,11.57,104.89,Phnom Penh,Toul Kork,,,,37,,,,,,,8,,,52000,,"Thursday, June 24, 2021"
Commercial,,Industrial,11.51,104.7,Battambang,Angk Snuol,,,,22519,,,,,,,,,,22519,,"Monday, January 11, 2021"
Residential,,Condominium,11.539,104.9195,Phnom Penh,Chamkarmon,,,,259,,,,,,,2,,,690000,,"Monday, April 12, 2021"
Residential,,Condominium,11.52,104.93,Phnom Penh,Meanchey,,,,50,,,,,,,8,,,530,,"Wednesday, August 4, 2021"
Commercial,,Land,11.559,104.9595,Battambang,Lvea Aem,,,,12600,,,,,,,,,,8190000,,"Wednesday, September 22, 2021"
Residential,,Condominium,11.52,104.93,Phnom Penh,Meanchey,,,,70,,,,,,,23,,,140000,,"Sunday, August 22, 2021"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,76,,,,,,,26,,,376700,,"Thursday, June 17, 2021"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,27,,,,,,,26,,,650,,"Monday, November 29, 2021"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,50,,,,,,,18,,,241220,,"Tuesday, September 28, 2021"
Commercial,,MixedUse,11.71,104.13,Kampong Speu,Aoral,,,,940000,,,,,,,,,,3572000,,"Thursday, April 1, 2021"
Commercial,,Office,11.58,104.93,Phnom Penh,Chamkarmon,,,,76,,,,,,,,,,1672,,"Tuesday, January 25, 2022"
Residential,,Condominium,11.57,104.92,Phnom Penh,Daun Penh,,,,73,,,,,,,5,,,216000,,"Monday, September 27, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,69,,,,,,,45,,,240000,,"Tuesday, December 29, 2020"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,44,,,,,,,23,,,246930,,"Tuesday, September 28, 2021"
Residential,,SingleVilla,10.5,103.55,Sihanoukville,Prey Nob,,,,209,,,,,,,,,,1200000,,"Thursday, April 1, 2021"
Commercial,,RetailProject,11.55,104.92,Phnom Penh,Chamkarmon,,,,43,,,,,,,,,,274519,,"Thursday, July 1, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Meanchey,,,,165,,,,,,,26,,,260000,,"Thursday, October 21, 2021"
Commercial,,Industrial,11.509,104.8195,Phnom Penh,Por Senchey,,,,17572,,,,,,,,,,4900000,,"Monday, January 11, 2021"
Residential,,Condominium,11.55,104.94,Phnom Penh,Chamkarmon,,,,40,,,,,,,16,,,165000,,"Wednesday, September 22, 2021"
Commercial,,Office,11.56,104.91,Phnom Penh,Chamkarmon,,,,34,,,,,,,,,,98003,,"Friday, November 20, 2020"
Residential,,ServicedApartment,11.55,104.92,Phnom Penh,Chamkarmon,,,,114,,,,,,,16,,,2650,,"Thursday, January 6, 2022"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,81,,,,,,,,,,240000,,"Tuesday, September 28, 2021"
Residential,,Condominium,11.55,104.94,Phnom Penh,Chamkarmon,,,,69,,,,,,,,,,172000,,"Friday, February 4, 2022"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,91,,,,,,,42,,,214385,,"Monday, June 7, 2021"
Commercial,,DevelopmentLand,11.609,104.8095,Phnom Penh,Por Senchey,,,,112000,,,,,,,,,,32480000,,"Thursday, April 1, 2021"
Commercial,,Office,11.569,104.9095,Phnom Penh,Daun Penh,,,,86,,,,,,,,,,435000,,"Tuesday, February 1, 2022"
Residential,,StandAloneVilla,10.48,104.32,Kep,,,,,1793,,,,,,,2,,,,,"Saturday, December 11, 2021"
Residential,,ServicedApartment,11.55,104.92,Phnom Penh,Chamkarmon,,,,125,,,,,,,1,,,1700,,"Wednesday, January 5, 2022"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,154,,,,,,,26,,,750000,,"Wednesday, September 22, 2021"
Residential,,Condominium,11.55,104.93,Sihanoukville,,,,,36,,,,,,,22,,,64800,,"Friday, November 5, 2021"
Residential,,Condominium,11.59,104.93,Phnom Penh,Chroy Changvar,,,,178,,,,,,,25,,,616902,,"Saturday, August 8, 2020"
Residential,,Condominium,11.549,104.9195,Phnom Penh,Chamkarmon,,,,103,,,,,,,25,,,370000,,"Wednesday, June 16, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,35,,,,,,,9,,,135481,,"Tuesday, September 28, 2021"
Commercial,,Land,10.499,103.6595,Sihanoukville,Prey Nob,,,,66000,,,,,,,,,,13200000,,"Thursday, April 1, 2021"
Residential,,Condominium,11.58,104.89,Phnom Penh,Toul Kork,,,,30,,,,,,,,,,350,,"Thursday, June 24, 2021"
Residential,,Land,13.369,103.8695,Siem Reap,,,,,12500,,,,,,,,,,6625000,,"Wednesday, June 16, 2021"
Commercial,,Industrial,11.5,104.81,Phnom Penh,Por Senchey,,,,5388,,,,,,,,,,727380,,"Monday, January 11, 2021"
Residential,,Condominium,11.53,104.96,Phnom Penh,Chbar Ampov,,,,30,,,,,,,10,,,60000,,"Tuesday, September 21, 2021"
Residential,,StandAloneVilla,11.54,104.92,Phnom Penh,Chamkarmon,,,,106,,,,,,,2,,,699000,,"Thursday, October 28, 2021"
Commercial,,IndustrialLand,11.51,104.73,Battambang,Angk Snuol,,,,181684,,,,,,,,,,36336800,,"Friday, September 17, 2021"
Commercial,,Land,11.67,104.92,Phnom Penh,Chroy Changvar,,,,1754,,,,,,,,,,1052160,,"Monday, February 21, 2022"
Commercial,,Shophouse,13.35,103.86,Siem Reap,,,,,274,,,,,,,2,,,1600000,,"Thursday, April 1, 2021"
Commercial,,Office,11.57,104.91,Phnom Penh,Daun Penh,,,,86,,,,,,,,,,28,,"Tuesday, February 1, 2022"
Residential,,Land,11.609,104.8795,Phnom Penh,Sen Sok,,,,12000,,,,,,,,,,6000000,,"Thursday, April 1, 2021"
