property_type,site_improvement,current_use,latitude,longitude,provice_city,district_khan,commune_sangkat,land_width,land_length,land_area_by_title_deed,topography,site_position,unit_type,building_name,width,length,no_of_storey,total_bedroom,total_bathroom,total,per_sqm,updated_sync_modify
Commercial,,Office,11.56,104.9,Phnom Penh,Toul Kork,,,,,,,,,,,36,,,25,,"Tuesday, February 1, 2022"
Commercial,,Office,11.53,104.87,Phnom Penh,Meanchey,,,,,,,,,,,9,,,15,,"Monday, November 15, 2021"
Condo/Apartment,,,11.58797065,104.8913703,,Toul Kork,,,,,,,,,,,0,1,1,1200,1200,
Condo/Apartment,,,11.5593469,104.9375362,,Chamkarmon,,,,,,,,,,,0,1,1,650,650,
Condo/Apartment,,,11.59051189,104.8738728,,SenSok,,,,,,,,,,,20,1,2,650,650,
Residential,,AgriculturalLand,13.39,103.73,Siem Reap,Puok,,,,,,,,,,,,,,,,"Friday, January 28, 2022"
Residential,,Condominium,11.54,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,18,,,600000,,"Sunday, August 22, 2021"
Residential,,TwinVilla,11.54,104.92,Phnom Penh,Meanchey,,,,,,,,,,,5,,,400000,,"Saturday, July 18, 2020"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chroy Changvar,,,,,,,,,,,12,,,146784,,"Friday, February 28, 2020"
Commercial,,Office,11.54,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,6,,,16,,"Thursday, December 17, 2020"
Commercial,,RetailProject,11.58,104.91,Phnom Penh,Daun Penh,,,,,,,,,,,4,,,,,"Monday, June 14, 2021"
Condo/Apartment,,,13.36536725,103.8606799,,Siem Reap City,,,,,,Middle,,,,,0,1,1,450,450,
Condo/Apartment,,,11.5459441,104.9162104,,Chamkarmon,,,,,,,,,,,0,2,2,700,700,
Condo/Apartment,,,11.57934577,104.889416,,Toul Kork,,,,,,,,,,,14,1,2,700,700,
Condo/Apartment,,,11.53888994,104.9171701,,Chamkarmon,,,,,,,,,,,0,2,1,800,800,
Commercial,,Office,11.55,104.91,Phnom Penh,Chamkarmon,,,,,,,,,,,7,,,,,"Wednesday, June 17, 2020"
Residential,,Condominium,11.59,104.93,Phnom Penh,Chroy Changvar,,,,,,,,,,,19,,,216000,,"Tuesday, September 28, 2021"
Commercial,,Office,11.56,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,3,,,24,,"Saturday, June 5, 2021"
Residential,,SingleVilla,11.56,104.93,Phnom Penh,Daun Penh,,,,,,,,,,,3,,,2800000,,"Tuesday, January 18, 2022"
House/Villa,,,11.53410143,104.9037878,,Meanchey,,,,,,Middle,,,,,2,4,4,160000,160000,
Residential,,Condominium,11.55,104.91,Phnom Penh,Chamkarmon,,,,,,,,,,,1,,,109000,,"Tuesday, November 2, 2021"
Commercial,,Office,11.58,104.9,Phnom Penh,Toul Kork,,,,,,,,,,,2,,,6000,,"Wednesday, September 1, 2021"
Condo/Apartment,,,11.58912885,104.8918774,,Toul Kork,,,,,,,,,,,0,2,2,850,850,
Commercial,,Office,11.6,104.93,Phnom Penh,Chroy Changvar,,,,,,,,,,,19,,,15,,"Friday, January 21, 2022"
Condo/Apartment,,,11.58852225,104.9012053,,Toul Kork,,,,,,,,,,,0,3,2,1400,1400,
Condo/Apartment,,,11.59549691,104.932665,,Chroy Changvar,,,,,,Middle,,,,,0,1,1,550,550,
Condo/Apartment,,,11.5294762,104.9285904,,Meanchey,,,,,,Corner,,,,,0,2,1,650,650,
Commercial,,RetailProject,11.52,104.93,Phnom Penh,Meanchey,,,,,,,,,,,22,,,,,"Monday, August 30, 2021"
Residential,,Condominium,11.59,104.93,Phnom Penh,Chroy Changvar,,,,,,,,,,,25,,,438464,,"Saturday, August 8, 2020"
Condo/Apartment,,,11.59800575,104.8738393,,SenSok,,,,,,Corner,,,,,20,1,2,135000,135000,
Commercial,,Warehousing,11.51,104.94,Phnom Penh,Chbar Ampov,,,,,,,,,,,,,,3,,"Tuesday, November 16, 2021"
Condo/Apartment,,,11.60209662,104.8983998,,Russey Keo,,,,,,Corner,,,,,20,1,1,550,550,
Condo/Apartment,,,11.59032677,104.8737884,,SenSok,,,,,,Corner,,,,,20,3,4,3000,3000,
Condo/Apartment,,,11.59801476,104.8738317,,SenSok,,,,,,,,,,,20,3,2,1400,1400,
Residential,,ServicedApartment,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,1,,,2900,,"Thursday, January 6, 2022"
Condo/Apartment,,,11.53963527,104.925344,,Chamkarmon,,,,,,,,,,,0,8,9,4500,4500,
Condo/Apartment,,,11.55644754,104.9307793,,Chamkarmon,,,,,,Corner,,,,,36,5,7,25000,25000,
Condo/Apartment,,,11.56278027,104.9238518,,Boeng Keng Kang,,,,,,,,,,,0,1,1,1200,1200,
Residential,,Condominium,11.58,104.93,Phnom Penh,Chroy Changvar,,,,,,,,,,,22,,,109489,,"Wednesday, October 28, 2020"
Commercial,,Office,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,1,,,10,,"Tuesday, September 28, 2021"
Residential,,Condominium,11.54,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,10,,,330000,,"Tuesday, September 28, 2021"
Condo/Apartment,,,11.59049927,104.8738294,,SenSok,,,,,,,,,,,0,2,3,1200,1200,
Commercial,,Office,11.54,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,,,,14,,"Saturday, June 5, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chroy Changvar,,,,,,,,,,,19,,,102419,,"Friday, February 28, 2020"
Commercial,,Shophouse,11.54,104.94,Phnom Penh,Chamkarmon,,,,,,,,,,,7,,,9,,"Friday, October 8, 2021"
Commercial,,Office,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,10,,,,,"Wednesday, February 26, 2020"
Hotel/Resort,,,13.3653613,103.8606751,,Siem Reap City,,,,,,Middle,,,,,2,22,25,3150000,3150000,
Condo/Apartment,,,11.55933146,104.9378405,,Chamkarmon,,,,,,,,,,,0,1,1,650,650,
Commercial,,Office,11.55,104.9,Phnom Penh,Chamkarmon,,,,,,,,,,,8,,,5640,,"Friday, April 10, 2020"
Commercial,,Industrial,11.49,104.63,Kampong Speu,Samraong Tong,,,,,,,,,,,,,,26300,,"Monday, January 11, 2021"
Condo/Apartment,,,11.57557068,104.9242843,,Doun Penh,,,,,,,,,,,0,3,2,4300,4300,
Condo/Apartment,,,11.59052815,104.8738423,,SenSok,,,,,,Middle,,,,,20,2,3,220000,220000,
Condo/Apartment,,,11.55230216,104.924576,,Boeng Keng Kang,,,,,,,,,,,0,1,1,1120,1120,
Residential,,Condominium,11.59,104.89,Phnom Penh,Sen Sok,,,,,,,,,,,,,,160000,,"Friday, March 13, 2020"
Condo/Apartment,,,11.56269314,104.924556,,Boeng Keng Kang,,,,,,,,,,,0,1,1,850,850,
Residential,,KingVilla,18,27,Phnom Penh,Meanchey,,,,,,,,,,,3,,,880000,,"Friday, June 5, 2020"
Condo/Apartment,,,11.59026673,104.8706745,,SenSok,,,,,,,,,,,20,1,2,600,600,
